class	name	seed	damage
dial	blend $1.00$	1	0
dial	blend $1.00$	1	0
dial	blend $1.00$	1	1
dial	blend $1.00$	2	0
dial	blend $1.00$	2	0
dial	blend $1.00$	2	0
dial	blend $1.00$	2	0
dial	blend $1.00$	2	0
dial	blend $1.00$	2	0
dial	blend $1.00$	2	0
dial	blend $1.00$	2	0
dial	blend $1.00$	2	0
dial	blend $1.00$	2	0
dial	blend $1.00$	3	0
dial	blend $1.00$	3	0
dial	blend $1.00$	3	0
dial	blend $1.00$	3	0
dial	blend $1.00$	3	0
dial	blend $1.00$	3	0
dial	blend $1.00$	3	0
dial	blend $1.00$	3	0
dial	blend $1.00$	3	0
dial	blend $1.00$	3	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	0	0
dial	braid + blend $0.70$	1	0
dial	braid + blend $0.70$	1	0
dial	braid + blend $0.70$	1	0
dial	braid + blend $0.70$	1	2
dial	braid + blend $0.70$	1	0
dial	braid + blend $0.70$	1	0
dial	braid + blend $0.70$	1	0
dial	braid + blend $0.70$	1	0
dial	braid + blend $0.70$	1	0
dial	braid + blend $0.70$	1	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	2	0
dial	braid + blend $0.70$	3	0
dial	braid + blend $0.70$	3	3
dial	braid + blend $0.70$	3	0
dial	braid + blend $0.70$	3	0
dial	braid + blend $0.70$	3	0
dial	braid + blend $0.70$	3	10
dial	braid + blend $0.70$	3	0
dial	braid + blend $0.70$	3	0
dial	braid + blend $0.70$	3	0
dial	braid + blend $0.70$	3	0
dial	async update $0.25$	0	0
dial	async update $0.25$	0	0
dial	async update $0.25$	0	3
dial	async update $0.25$	0	0
dial	async update $0.25$	0	5
dial	async update $0.25$	0	0
dial	async update $0.25$	0	0
dial	async update $0.25$	0	0
dial	async update $0.25$	0	0
dial	async update $0.25$	0	0
dial	async update $0.25$	1	0
dial	async update $0.25$	1	0
dial	async update $0.25$	1	0
dial	async update $0.25$	1	0
dial	async update $0.25$	1	0
dial	async update $0.25$	1	3
dial	async update $0.25$	1	0
dial	async update $0.25$	1	0
dial	async update $0.25$	1	0
dial	async update $0.25$	1	0
dial	async update $0.25$	2	0
dial	async update $0.25$	2	0
dial	async update $0.25$	2	0
dial	async update $0.25$	2	0
dial	async update $0.25$	2	3
dial	async update $0.25$	2	5
dial	async update $0.25$	2	0
dial	async update $0.25$	2	0
dial	async update $0.25$	2	0
dial	async update $0.25$	2	0
dial	async update $0.25$	3	0
dial	async update $0.25$	3	0
dial	async update $0.25$	3	0
dial	async update $0.25$	3	0
dial	async update $0.25$	3	0
dial	async update $0.25$	3	0
dial	async update $0.25$	3	0
dial	async update $0.25$	3	0
dial	async update $0.25$	3	0
dial	async update $0.25$	3	0
dial	async update $0.75$	0	0
dial	async update $0.75$	0	0
dial	async update $0.75$	0	0
dial	async update $0.75$	0	0
dial	async update $0.75$	0	0
dial	async update $0.75$	0	0
dial	async update $0.75$	0	10
dial	async update $0.75$	0	0
dial	async update $0.75$	0	0
dial	async update $0.75$	0	0
dial	async update $0.75$	1	0
dial	async update $0.75$	1	0
dial	async update $0.75$	1	0
dial	async update $0.75$	1	0
dial	async update $0.75$	1	0
dial	async update $0.75$	1	9
dial	async update $0.75$	1	0
dial	async update $0.75$	1	0
dial	async update $0.75$	1	0
dial	async update $0.75$	1	0
dial	async update $0.75$	2	0
dial	async update $0.75$	2	0
dial	async update $0.75$	2	0
dial	async update $0.75$	2	0
dial	async update $0.75$	2	1
dial	async update $0.75$	2	0
dial	async update $0.75$	2	0
dial	async update $0.75$	2	0
dial	async update $0.75$	2	10
dial	async update $0.75$	2	0
dial	async update $0.75$	3	0
dial	async update $0.75$	3	0
dial	async update $0.75$	3	0
dial	async update $0.75$	3	0
dial	async update $0.75$	3	0
dial	async update $0.75$	3	0
dial	async update $0.75$	3	0
dial	async update $0.75$	3	0
dial	async update $0.75$	3	0
dial	async update $0.75$	3	0
dial	niches $P_a$/two-4 (16)	0	0
dial	niches $P_a$/two-4 (16)	0	0
dial	niches $P_a$/two-4 (16)	0	0
dial	niches $P_a$/two-4 (16)	0	5
dial	niches $P_a$/two-4 (16)	0	0
dial	niches $P_a$/two-4 (16)	0	0
dial	niches $P_a$/two-4 (16)	0	0
dial	niches $P_a$/two-4 (16)	0	0
dial	niches $P_a$/two-4 (16)	0	1
dial	niches $P_a$/two-4 (16)	0	0
dial	niches $P_a$/two-4 (16)	1	0
dial	niches $P_a$/two-4 (16)	1	2
dial	niches $P_a$/two-4 (16)	1	0
dial	niches $P_a$/two-4 (16)	1	0
dial	niches $P_a$/two-4 (16)	1	0
dial	niches $P_a$/two-4 (16)	1	0
dial	niches $P_a$/two-4 (16)	1	0
dial	niches $P_a$/two-4 (16)	1	7
dial	niches $P_a$/two-4 (16)	1	0
dial	niches $P_a$/two-4 (16)	1	0
dial	niches $P_a$/two-4 (16)	2	0
dial	niches $P_a$/two-4 (16)	2	0
dial	niches $P_a$/two-4 (16)	2	0
dial	niches $P_a$/two-4 (16)	2	0
dial	niches $P_a$/two-4 (16)	2	0
dial	niches $P_a$/two-4 (16)	2	10
dial	niches $P_a$/two-4 (16)	2	0
dial	niches $P_a$/two-4 (16)	2	0
dial	niches $P_a$/two-4 (16)	2	0
dial	niches $P_a$/two-4 (16)	2	0
dial	niches $P_a$/two-4 (16)	3	0
dial	niches $P_a$/two-4 (16)	3	0
dial	niches $P_a$/two-4 (16)	3	0
dial	niches $P_a$/two-4 (16)	3	4
dial	niches $P_a$/two-4 (16)	3	0
dial	niches $P_a$/two-4 (16)	3	0
dial	niches $P_a$/two-4 (16)	3	0
dial	niches $P_a$/two-4 (16)	3	0
dial	niches $P_a$/two-4 (16)	3	0
dial	niches $P_a$/two-4 (16)	3	0
dial	niches $P_a$/two-4 (8)	0	0
dial	niches $P_a$/two-4 (8)	0	0
dial	niches $P_a$/two-4 (8)	0	4
dial	niches $P_a$/two-4 (8)	0	0
dial	niches $P_a$/two-4 (8)	0	0
dial	niches $P_a$/two-4 (8)	0	0
dial	niches $P_a$/two-4 (8)	0	0
dial	niches $P_a$/two-4 (8)	0	0
dial	niches $P_a$/two-4 (8)	0	0
dial	niches $P_a$/two-4 (8)	0	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	1	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	2	0
dial	niches $P_a$/two-4 (8)	3	0
dial	niches $P_a$/two-4 (8)	3	0
dial	niches $P_a$/two-4 (8)	3	0
dial	niches $P_a$/two-4 (8)	3	0
dial	niches $P_a$/two-4 (8)	3	0
dial	niches $P_a$/two-4 (8)	3	0
dial	niches $P_a$/two-4 (8)	3	0
dial	niches $P_a$/two-4 (8)	3	0
dial	niches $P_a$/two-4 (8)	3	8
dial	niches $P_a$/two-4 (8)	3	8
dial	mutation $0.10$	0	0
dial	mutation $0.10$	0	0
dial	mutation $0.10$	0	0
dial	mutation $0.10$	0	0
dial	mutation $0.10$	0	0
dial	mutation $0.10$	0	0
dial	mutation $0.10$	0	0
dial	mutation $0.10$	0	0
dial	mutation $0.10$	0	0
dial	mutation $0.10$	0	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	1	0
dial	mutation $0.10$	2	0
dial	mutation $0.10$	2	0
dial	mutation $0.10$	2	0
dial	mutation $0.10$	2	0
dial	mutation $0.10$	2	2
dial	mutation $0.10$	2	0
dial	mutation $0.10$	2	0
dial	mutation $0.10$	2	0
dial	mutation $0.10$	2	6
dial	mutation $0.10$	2	0
dial	mutation $0.10$	3	0
dial	mutation $0.10$	3	0
dial	mutation $0.10$	3	0
dial	mutation $0.10$	3	0
dial	mutation $0.10$	3	1
dial	mutation $0.10$	3	0
dial	mutation $0.10$	3	0
dial	mutation $0.10$	3	0
dial	mutation $0.10$	3	0
dial	mutation $0.10$	3	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	0	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	1	0
dial	mutation $0.40$	2	0
dial	mutation $0.40$	2	0
dial	mutation $0.40$	2	0
dial	mutation $0.40$	2	0
dial	mutation $0.40$	2	4
dial	mutation $0.40$	2	4
dial	mutation $0.40$	2	0
dial	mutation $0.40$	2	8
dial	mutation $0.40$	2	8
dial	mutation $0.40$	2	0
dial	mutation $0.40$	3	0
dial	mutation $0.40$	3	0
dial	mutation $0.40$	3	2
dial	mutation $0.40$	3	1
dial	mutation $0.40$	3	1
dial	mutation $0.40$	3	0
dial	mutation $0.40$	3	0
dial	mutation $0.40$	3	0
dial	mutation $0.40$	3	6
dial	mutation $0.40$	3	0
dial	transport $0.00$	0	1
dial	transport $0.00$	0	3
dial	transport $0.00$	0	0
dial	transport $0.00$	0	2
dial	transport $0.00$	0	2
dial	transport $0.00$	0	0
dial	transport $0.00$	0	1
dial	transport $0.00$	0	0
dial	transport $0.00$	0	0
dial	transport $0.00$	0	1
dial	transport $0.00$	1	0
dial	transport $0.00$	1	2
dial	transport $0.00$	1	5
dial	transport $0.00$	1	0
dial	transport $0.00$	1	1
dial	transport $0.00$	1	0
dial	transport $0.00$	1	0
dial	transport $0.00$	1	0
dial	transport $0.00$	1	0
dial	transport $0.00$	1	0
dial	transport $0.00$	2	2
dial	transport $0.00$	2	0
dial	transport $0.00$	2	1
dial	transport $0.00$	2	3
dial	transport $0.00$	2	4
dial	transport $0.00$	2	0
dial	transport $0.00$	2	0
dial	transport $0.00$	2	1
dial	transport $0.00$	2	1
dial	transport $0.00$	2	0
dial	transport $0.00$	3	2
dial	transport $0.00$	3	1
dial	transport $0.00$	3	0
dial	transport $0.00$	3	3
dial	transport $0.00$	3	1
dial	transport $0.00$	3	1
dial	transport $0.00$	3	0
dial	transport $0.00$	3	2
dial	transport $0.00$	3	1
dial	transport $0.00$	3	3
dial	transport $0.05$	0	4
dial	transport $0.05$	0	8
dial	transport $0.05$	0	12
dial	transport $0.05$	0	0
dial	transport $0.05$	0	6
dial	transport $0.05$	0	0
dial	transport $0.05$	0	0
dial	transport $0.05$	0	0
dial	transport $0.05$	0	0
dial	transport $0.05$	0	1
dial	transport $0.05$	1	0
dial	transport $0.05$	1	3
dial	transport $0.05$	1	0
dial	transport $0.05$	1	4
dial	transport $0.05$	1	4
dial	transport $0.05$	1	0
