gamma	seed	site	mass
0.2500	2	74	2
0.2500	2	75	0
0.2500	2	76	4
0.2500	2	77	5
0.2500	2	78	0
0.2500	2	79	0
0.2500	3	0	0
0.2500	3	1	0
0.2500	3	2	0
0.2500	3	3	7
0.2500	3	4	4
0.2500	3	5	10
0.2500	3	6	5
0.2500	3	7	0
0.2500	3	8	9
0.2500	3	9	7
0.2500	3	10	7
0.2500	3	11	5
0.2500	3	12	5
0.2500	3	13	7
0.2500	3	14	5
0.2500	3	15	0
0.2500	3	16	0
0.2500	3	17	19
0.2500	3	18	19
0.2500	3	19	16
0.2500	3	20	19
0.2500	3	21	0
0.2500	3	22	0
0.2500	3	23	10
0.2500	3	24	15
0.2500	3	25	16
0.2500	3	26	17
0.2500	3	27	6
0.2500	3	28	19
0.2500	3	29	16
0.2500	3	30	14
0.2500	3	31	10
0.2500	3	32	12
0.2500	3	33	0
0.2500	3	34	15
0.2500	3	35	12
0.2500	3	36	17
0.2500	3	37	10
0.2500	3	38	13
0.2500	3	39	12
0.2500	3	40	0
0.2500	3	41	14
0.2500	3	42	14
0.2500	3	43	16
0.2500	3	44	15
0.2500	3	45	13
0.2500	3	46	17
0.2500	3	47	14
0.2500	3	48	11
0.2500	3	49	10
0.2500	3	50	15
0.2500	3	51	12
0.2500	3	52	9
0.2500	3	53	0
0.2500	3	54	10
0.2500	3	55	18
0.2500	3	56	14
0.2500	3	57	9
0.2500	3	58	4
0.2500	3	59	0
0.2500	3	60	14
0.2500	3	61	6
0.2500	3	62	6
0.2500	3	63	3
0.2500	3	64	0
0.2500	3	65	0
0.2500	3	66	2
0.2500	3	67	0
0.2500	3	68	0
0.2500	3	69	0
0.2500	3	70	0
0.2500	3	71	0
0.2500	3	72	0
0.2500	3	73	0
0.2500	3	74	3
0.2500	3	75	0
0.2500	3	76	0
0.2500	3	77	0
0.2500	3	78	0
0.2500	3	79	0
0.3750	1	0	0
0.3750	1	1	0
0.3750	1	2	0
0.3750	1	3	0
0.3750	1	4	0
0.3750	1	5	0
0.3750	1	6	0
0.3750	1	7	0
0.3750	1	8	0
0.3750	1	9	0
0.3750	1	10	0
0.3750	1	11	0
0.3750	1	12	0
0.3750	1	13	0
0.3750	1	14	0
0.3750	1	15	0
0.3750	1	16	0
0.3750	1	17	0
0.3750	1	18	0
0.3750	1	19	0
0.3750	1	20	0
0.3750	1	21	0
0.3750	1	22	0
0.3750	1	23	0
0.3750	1	24	0
0.3750	1	25	0
0.3750	1	26	0
0.3750	1	27	0
0.3750	1	28	0
0.3750	1	29	0
0.3750	1	30	0
0.3750	1	31	0
0.3750	1	32	9
0.3750	1	33	9
0.3750	1	34	9
0.3750	1	35	9
0.3750	1	36	11
0.3750	1	37	13
0.3750	1	38	8
0.3750	1	39	13
0.3750	1	40	8
0.3750	1	41	9
0.3750	1	42	10
0.3750	1	43	9
0.3750	1	44	8
0.3750	1	45	8
0.3750	1	46	12
0.3750	1	47	15
0.3750	1	48	8
0.3750	1	49	8
0.3750	1	50	10
0.3750	1	51	8
0.3750	1	52	0
0.3750	1	53	8
0.3750	1	54	0
0.3750	1	55	0
0.3750	1	56	0
0.3750	1	57	14
0.3750	1	58	14
0.3750	1	59	0
0.3750	1	60	0
0.3750	1	61	0
0.3750	1	62	0
0.3750	1	63	17
0.3750	1	64	0
0.3750	1	65	0
0.3750	1	66	0
0.3750	1	67	0
0.3750	1	68	0
0.3750	1	69	0
0.3750	1	70	0
0.3750	1	71	0
0.3750	1	72	1
0.3750	1	73	0
0.3750	1	74	0
0.3750	1	75	0
0.3750	1	76	0
0.3750	1	77	0
0.3750	1	78	1
0.3750	1	79	0
0.3750	2	0	0
0.3750	2	1	0
0.3750	2	2	0
0.3750	2	3	2
0.3750	2	4	4
0.3750	2	5	0
0.3750	2	6	4
0.3750	2	7	1
0.3750	2	8	2
0.3750	2	9	4
0.3750	2	10	4
0.3750	2	11	4
0.3750	2	12	1
0.3750	2	13	1
0.3750	2	14	4
0.3750	2	15	3
0.3750	2	16	5
0.3750	2	17	1
0.3750	2	18	1
0.3750	2	19	0
0.3750	2	20	4
0.3750	2	21	4
0.3750	2	22	0
0.3750	2	23	1
0.3750	2	24	0
0.3750	2	25	4
0.3750	2	26	4
0.3750	2	27	1
0.3750	2	28	2
0.3750	2	29	2
0.3750	2	30	3
0.3750	2	31	0
0.3750	2	32	1
0.3750	2	33	1
0.3750	2	34	0
0.3750	2	35	0
0.3750	2	36	0
0.3750	2	37	0
0.3750	2	38	0
0.3750	2	39	0
0.3750	2	40	0
0.3750	2	41	0
0.3750	2	42	0
0.3750	2	43	0
0.3750	2	44	0
0.3750	2	45	0
0.3750	2	46	0
0.3750	2	47	0
0.3750	2	48	0
0.3750	2	49	0
0.3750	2	50	3
0.3750	2	51	10
0.3750	2	52	3
0.3750	2	53	0
0.3750	2	54	5
0.3750	2	55	8
0.3750	2	56	8
0.3750	2	57	9
0.3750	2	58	8
0.3750	2	59	7
0.3750	2	60	10
0.3750	2	61	6
0.3750	2	62	0
0.3750	2	63	0
0.3750	2	64	0
0.3750	2	65	0
0.3750	2	66	0
0.3750	2	67	0
0.3750	2	68	0
0.3750	2	69	0
0.3750	2	70	0
0.3750	2	71	2
0.3750	2	72	1
0.3750	2	73	0
0.3750	2	74	3
0.3750	2	75	0
0.3750	2	76	2
0.3750	2	77	0
0.3750	2	78	0
0.3750	2	79	0
0.3750	3	0	5
0.3750	3	1	5
0.3750	3	2	0
0.3750	3	3	2
0.3750	3	4	4
0.3750	3	5	7
0.3750	3	6	5
0.3750	3	7	5
0.3750	3	8	5
0.3750	3	9	5
0.3750	3	10	0
0.3750	3	11	6
0.3750	3	12	4
0.3750	3	13	6
0.3750	3	14	4
0.3750	3	15	8
0.3750	3	16	7
0.3750	3	17	13
0.3750	3	18	14
0.3750	3	19	8
0.3750	3	20	9
0.3750	3	21	0
0.3750	3	22	12
0.3750	3	23	0
0.3750	3	24	11
0.3750	3	25	11
0.3750	3	26	12
0.3750	3	27	12
0.3750	3	28	11
0.3750	3	29	0
0.3750	3	30	10
0.3750	3	31	11
0.3750	3	32	6
0.3750	3	33	10
0.3750	3	34	11
0.3750	3	35	0
0.3750	3	36	10
0.3750	3	37	11
0.3750	3	38	16
0.3750	3	39	0
0.3750	3	40	0
0.3750	3	41	10
0.3750	3	42	0
0.3750	3	43	9
0.3750	3	44	12
0.3750	3	45	0
0.3750	3	46	0
0.3750	3	47	17
0.3750	3	48	7
0.3750	3	49	0
0.3750	3	50	0
0.3750	3	51	15
0.3750	3	52	19
0.3750	3	53	15
0.3750	3	54	12
0.3750	3	55	2
0.3750	3	56	4
0.3750	3	57	0
0.3750	3	58	0
0.3750	3	59	0
0.3750	3	60	0
0.3750	3	61	6
0.3750	3	62	0
0.3750	3	63	0
0.3750	3	64	3
0.3750	3	65	0
0.3750	3	66	0
0.3750	3	67	6
0.3750	3	68	4
0.3750	3	69	0
0.3750	3	70	4
0.3750	3	71	0
0.3750	3	72	0
0.3750	3	73	0
0.3750	3	74	0
0.3750	3	75	0
0.3750	3	76	0
0.3750	3	77	0
0.3750	3	78	0
0.3750	3	79	0
0.5000	1	0	0
0.5000	1	1	0
0.5000	1	2	0
0.5000	1	3	0
0.5000	1	4	0
0.5000	1	5	0
0.5000	1	6	0
0.5000	1	7	0
0.5000	1	8	0
0.5000	1	9	0
0.5000	1	10	0
0.5000	1	11	0
0.5000	1	12	0
0.5000	1	13	0
0.5000	1	14	0
0.5000	1	15	0
0.5000	1	16	0
0.5000	1	17	0
0.5000	1	18	0
0.5000	1	19	0
0.5000	1	20	0
0.5000	1	21	0
0.5000	1	22	0
0.5000	1	23	0
0.5000	1	24	0
